county,uk_region
Derbyshire,East Midlands
Leicestershire,East Midlands
Lincolnshire,East Midlands
Northamptonshire,East Midlands
Nottinghamshire,East Midlands
Rutland,East Midlands
Bedfordshire,East of England
Cambridgeshire,East of England
Essex,East of England
Hertfordshire,East of England
Norfolk,East of England
Suffolk,East of England
Greater London,London
Durham,North East
Northumberland,North East
Tyne and Wear,North East
Cheshire,North West
Cumbria,North West
Greater Manchester,North West
Lancashire,North West
Merseyside,North West
Antrim,Northern Ireland
Armagh,Northern Ireland
Down,Northern Ireland
Fermanagh,Northern Ireland
Londonderry,Northern Ireland
Tyrone,Northern Ireland
Aberdeenshire,Scotland
Angus,Scotland
Argyll and Bute,Scotland
Ayrshire and Arran,Scotland
Dumfries and Galloway,Scotland
Dunbartonshire,Scotland
East Lothian,Scotland
Edinburgh,Scotland
Fife,Scotland
Glasgow,Scotland
Inverness,Scotland
Lanarkshire,Scotland
Midlothian,Scotland
Moray,Scotland
Perth and Kinross,Scotland
Renfrewshire,Scotland
Scottish Borders,Scotland
Stirling and Falkirk,Scotland
West Lothian,Scotland
Berkshire,South East
Buckinghamshire,South East
East Sussex,South East
Hampshire,South East
Isle of Wight,South East
Kent,South East
Oxfordshire,South East
Surrey,South East
West Sussex,South East
Bristol,South West
Cornwall,South West
Devon,South West
Dorset,South West
Gloucestershire,South West
Somerset,South West
Wiltshire,South West
Clwyd,Wales
Dyfed,Wales
Gwent,Wales
Gwynedd,Wales
Mid Glamorgan,Wales
Powys,Wales
South Glamorgan,Wales
West Glamorgan,Wales
Herefordshire,West Midlands
Shropshire,West Midlands
Staffordshire,West Midlands
Warwickshire,West Midlands
West Midlands,West Midlands
Worcestershire,West Midlands
East Riding of Yorkshire,Yorkshire and The Humber
North Yorkshire,Yorkshire and The Humber
South Yorkshire,Yorkshire and The Humber
West Yorkshire,Yorkshire and The Humber
